"","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","word"
"28",FALSE,0,NA,2017-12-17 14:34:05,FALSE,NA,"942402524245647360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",8,TRUE,FALSE,NA,NA,"horrific"
"29",FALSE,0,NA,2017-12-17 14:34:05,FALSE,NA,"942402524245647360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",8,TRUE,FALSE,NA,NA,"earth"
"30",FALSE,0,NA,2017-12-17 14:34:05,FALSE,NA,"942402524245647360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",8,TRUE,FALSE,NA,NA,"ginger"
"31",FALSE,0,NA,2017-12-17 14:34:05,FALSE,NA,"942402524245647360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",8,TRUE,FALSE,NA,NA,"canadago"
"32",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"rt"
"33",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"candymaptones"
"34",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"gingerfashionuk"
"35",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"canadagoose"
"36",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"wares"
"37",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"wannabes"
"38",FALSE,0,NA,2017-12-17 14:34:02,FALSE,NA,"942402510177914880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZoYoEden",5,TRUE,FALSE,NA,NA,"folks"
